"incandescent","giving out light when heated
 - very bright
 - full of strong emotion"
"groove","a long narrow cut in the surface of something hard
 - a particular type of musical rhythm"
"shaft","a long, narrow, usually vertical passage in a building or underground, used especially for a lift/elevator or as a way of allowing air in or out
 - the long narrow part of an arrow, hammer, golf club, etc.
 - a metal bar that joins parts of a machine or an engine together, enabling power and movement to be passed from one part to another
 - either of the two poles at the front of a carriage or cart between which a horse is fastened in order to pull it
 - a narrow strip of light
 - a sudden strong feeling of pain, etc. that travels through your body
 - a clever remark that is intended to upset or annoy somebody"
